TrainingSetSize,DiffusionChain,Shape,Number,Color,Form.0,Seen.1,Form.1,Seen.2,Form.2,Seen.3,Form.3,Seen.4,Form.4,Seen.5,Form.5,Seen.6,Form.6,Seen.7,Form.7,Seen.8,Form.8,Seen.9,Form.9,Seen.10,Form.10
15,1,berry,one,blue,tasolsan,0,kinokosol,1,staki,1,staki,0,cuito,1,cuito,0,kasato,0,kasto,0,kasto,0,kasto,0,kast
15,1,berry,one,green,vulsalvu,0,sansulko,0,sonsukia,1,staki,0,kasaki,0,cuito,0,kasto,1,kasto,1,cast,1,cast,1,cast
15,1,berry,one,red,vansonkin,0,sansuko,1,sunduka,1,sundko,1,sundko,0,cuito,0,cuito,0,cuito,0,cuito,1,cuito,1,cuito
15,1,berry,three,blue,kutonsa,1,kutonsa,0,kilokasa,1,kasakilo,0,kasakui,0,cuito,0,kasanto,0,castano,0,castano,1,castano,1,castano
15,1,berry,three,green,sultalti,1,sultati,1,kisostuka,0,kasakilo,1,casakui,0,sudunko,1,sudunko,0,kastana,1,csatco,1,csatco,1,csatano
15,1,berry,three,red,kutunvin,0,kilkusa,1,kisunduka,0,sudunko,1,sundasiko,0,cuito,1,cuito,0,cuitanto,1,cuitanto,0,cuito,0,cuitano
15,1,berry,two,blue,valtunvu,1,valunuvu,0,senduika,1,kasakui,1,kasakui,0,kasto,1,kasato,0,castano,1,kasto,1,kasto,1,vovant
15,1,berry,two,green,sisikin,0,sultati,0,kasukai,1,staki,1,kasanto,1,kaski,0,kasato,1,casto,1,kasto,0,cast,0,csatco
15,1,berry,two,red,sonvanti,0,kosonlval,0,sunsuka,1,stakundo,1,sudunko,1,sudunko,0,cuito,1,cuito,1,casto,1,cuito,0,kasto
15,1,key,one,blue,kilvonton,1,kilvonton,0,tontikill,1,takikill,1,takikill,1,tanto,0,tanto,0,tanto,0,tanto,0,tankill,0,tann
15,1,key,one,green,valvotal,0,toltuvil,0,kilokill,1,tanto,1,tanto,1,tanto,1,tanto,0,tanto,1,tankill,1,tankill,1,tankill
15,1,key,one,red,sintilkul,1,sintulko,1,stilokill,0,tanto,0,tanta,0,tanto,0,tanto,1,tanto,0,tanto,1,tanto,1,tanto
15,1,key,three,blue,volsilto,0,tokosan,0,stiokill,0,tantokill,0,tankkill,1,tankkill,1,tankkill,1,tankkill,0,tannokill,0,tannokill,1,tannokill
15,1,key,three,green,kasilkol,1,kasilkol,0,stilokill,1,tantokill,1,tantokill,1,tantokill,1,tantokill,1,tannkill,0,tannokill,1,tannokill,0,tan
15,1,key,three,red,konvalsal,0,kiulsal,0,strilokill,0,tantokill,0,sudakill,1,tannokill,1,tannokill,1,tannkill,1,tannokill,0,tantokill,1,tantokill
15,1,key,two,blue,tokosan,1,tokosan,1,sanokill,1,takikill,0,kasaki,1,kasanto,1,kasanto,0,tankill,0,tannkill,1,tannkill,1,tannkill
15,1,key,two,green,tilvalvol,0,kasilkol,1,tultokill,1,stakikua,1,stakito,0,tankill,1,tankill,1,tannokill,1,tannokill,0,tannkill,0,tannkill
15,1,key,two,red,tilkunsun,1,stinunkill,1,tantakill,1,tanotkill,1,tatnokill,1,sankill,0,tanokill,1,tankill,1,tannkill,0,tantosk,1,tantosk
15,1,phone,one,blue,toltuvil,1,toltuvil,1,volva,1,volva,1,volva,0,volva,1,volva,1,volva,0,volva,0,vovata,0,volva
15,1,phone,one,green,sansulko,1,sansulko,1,voluv,0,volva,0,voulva,0,voulva,1,voulva,1,voulva,1,voulva,1,voulva,0,volva
15,1,phone,one,red,kakolkan,0,tilvulval,1,voluva,0,voulva,0,volva,1,volva,0,volva,0,volva,1,volva,1,voulva,1,voulva
15,1,phone,three,blue,kinsolval,1,kinsolval,1,stilovanta,0,volvonta,1,volvanta,1,volvanta,1,volvanta,0,voulvanta,0,voulvata,0,voulvanta,0,voulvanta
15,1,phone,three,green,silvonkan,1,silvonkan,1,strilovon,0,voulvanta,1,voulvanta,1,voulvanta,1,voulvanta,1,voulvanta,1,volvanta,1,volvanta,1,volvanta
15,1,phone,three,red,kikulsal,1,kiulsal,1,strilovon,0,voulvanta,0,volvanta,0,volvan,0,volvanta,1,volvanta,1,volvanta,0,vovanta,1,vovanta
15,1,phone,two,blue,viltintul,0,tokosan,0,vonvonta,0,voulva,0,volvan,1,volvan,0,volvan,1,voulvan,1,vovata,1,vovant,0,voul
15,1,phone,two,green,vonvonta,1,vonvonta,1,vonvonta,0,voulva,1,voulvan,1,voulvan,1,voulvan,1,voulvan,0,voulvata,1,voulvata,1,voulvata
15,1,phone,two,red,tilvuval,1,tilvuval,0,voulavonta,1,voulva,0,volvan,0,volvan,1,volvan,0,volvan,0,volva,0,voulva,0,voula
15,2,berry,one,blue,kokankil,1,kokasul,0,tinsa,1,tinsa,0,koksatl,1,koksa,0,kkoksa,1,koktatual,0,versewe,0,vincera,1,vincera
15,2,berry,one,green,volsulkul,1,tilvilsa,1,tinsavol,1,tinsavol,1,koksatul,1,koksa,1,koksa,1,kokta,1,kokkta,0,vincera,0,vicera
15,2,berry,one,red,tulsanvun,1,kosatil,1,kokasul,1,kokasol,0,koksa,0,koksa,0,kkoksa,0,kokksa,0,vicera,1,vicera,0,vicera
15,2,berry,three,blue,kulvintu,1,tinkolsul,1,vinsatol,1,koksatol,0,koksaversatul,1,koksatul,0,kokksa,0,kokksta,0,versewtual,1,versewewe,1,versewewe
15,2,berry,three,green,tisolkol,1,vantanvun,1,vinstasol,0,tolsasulktol,0,koksatulok,1,koksatuol,1,kokksatul,1,verseswetual,1,versewe,1,vereswewe,1,vereswewe
15,2,berry,three,red,kuvulti,1,tinvanvun,1,koksakul,1,vinsakakul,0,koksaversatuk,0,koksaktul,1,kokksatl,1,kokkta,0,vereswewe,1,versawewe,1,versawewe
15,2,berry,two,blue,tultavul,0,kosasun,1,koksa,1,koska,1,kksasatol,1,kokksa,1,kkoksa,0,vereserswe,1,versewewe,1,versewe,1,versewe
15,2,berry,two,green,vonkatin,1,valvunso,1,kokasol,0,tinsaulktol,1,koksatuol,1,kkoksa,1,kokksatual,1,verseswe,0,kokksta,0,versewewe,0,vereswe
15,2,berry,two,red,kilvulki,0,kinsinto,0,koksakul,0,vinsakul,1,vinseaverse,0,koksatul,1,kokksatual,0,kokktual,1,versewewe,0,vincera,0,versawe
15,2,key,one,blue,kosalsun,1,tokalsol,0,vinsatul,1,koksatul,1,koks,0,vincerwse,0,vincerwse,1,tucaktual,0,vincera,1,kokktual,1,kokkest
15,2,key,one,green,vilkilsil,1,tinsansi,0,vinsovul,1,vinsa,1,koks,0,vincesevers,1,vincertul,0,koktstatual,0,koksa,1,kokkest,0,kestua
15,2,key,one,red,kolkaka,1,kokasun,0,tinsa,0,koksatol,1,koksa,0,vincerwse,1,vincertul,0,vinecertual,1,vertaul,1,kosetua,1,kokkestua
15,2,key,three,blue,vuvalsa,1,tosolvol,1,vinsavolkoksa,0,vulsatunsa,1,koksavincevers,1,vinceseverwse,1,vincerseverswe,0,versetual,0,ververtaul,1,kokkestual,1,kokkestual
15,2,key,three,green,totulsan,0,tilsunvun,0,vulsatulsa,1,tunsavul,0,koksversatul,0,vincesevers,0,vincerseverwse,1,kokkstaatual,1,kokktatula,1,kokkestual,0,kokkestual
15,2,key,three,red,tisasi,0,koltolkal,1,kuksavolta,1,kukasvulta,1,koksavinsatul,1,vinsaverse,1,vincerseverswe,1,kokksta,1,kokkestual,1,kokkestual,0,kokkestual
15,2,key,two,blue,tonsanson,0,tosalva,0,tulsavol,0,tinsavol,0,tokulutol,0,vincerwse,0,vincertul,1,versevincetual,0,versewe,0,kokkestula,1,kokkestula
15,2,key,two,green,tintilso,0,vankatin,1,tunsa,1,vinsotul,0,vinceswtul,1,vincerwse,0,vincerverswe,1,kokktatual,1,kokktual,0,kokkestula,0,kokkestula
15,2,key,two,red,sunsokin,0,vintasol,1,kuksa,0,vinsavolta,1,vinsaverwse,1,vincertul,1,vincerseverwse,0,vincertual,1,kokksta,0,kokkestual,0,kokkestula
15,2,phone,one,blue,vuvalta,0,tosalsa,0,tinsavol,0,tinsasul,0,koksa,0,koska,1,koska,0,vincerswe,0,vertua,1,vincera,0,vincera
15,2,phone,one,green,valtolvu,0,vatakin,0,vinsa,0,koksa,1,koksa,0,koksa,0,koska,0,kokstaatual,0,vertal,0,vertual,1,vincera
15,2,phone,one,red,vusolvin,0,kokalval,1,koksasul,1,koksasul,0,koksa,1,koksa,0,koska,1,vincertaul,1,koktaul,1,vicera,1,vincera
15,2,phone,three,blue,tatontil,1,tosalsil,0,tinsavol,0,vinsasultkol,1,vinsavoltolouk,1,tocalacutol,0,koskatul,0,vincerverse,1,vincertual,1,vertula,1,verestual
15,2,phone,three,green,sulsuntin,1,tinvankin,1,tolsavulsa,1,vinsatul,0,vinsaverseatul,1,tocalacutol,0,koskatul,0,verseswe,1,kokktual,0,veratual,1,vincertual
15,2,phone,three,red,volvanvan,1,vunvanvan,0,koksasulktol,1,koksasulktol,1,tokolocatul,1,tocalacutol,1,tocalatul,1,verseserveswe,1,vicera,0,vincertual,1,vincerestual
15,2,phone,two,blue,tilviltun,1,tulsavalsa,1,tinsavol,0,volsatunsa,0,vincaverse,0,koksatol,1,koskatul,1,koksta,0,virtual,0,vertaul,0,versetula
15,2,phone,two,green,vunsuso,0,vintinva,0,vinsavol,0,vinsatul,1,vinsaverse,0,koksatul,0,vincerverse,1,koksa,1,kokktual,1,vincertula,0,verastula
15,2,phone,two,red,silkiltal,0,kasulki,1,volsatulsa,1,volsatulns,1,vinsaverse,1,vincewerse,1,tocatual,1,tactaul,1,kokksta,0,versatula,1,verastula
15,3,berry,one,blue,vinkuti,1,vinkuti,1,visitan,0,konsava,0,konsata,0,losanta,1,losanta,1,losilvant,0,losilva,1,losilva,1,losiltan
15,3,berry,one,green,tisilkan,1,tisilkin,0,lisatona,0,konsata,1,konsata,1,konsanta,1,losantan,0,losantant,1,dosilvan,1,losilvan,1,losantant
15,3,berry,one,red,tolvoltu,0,vusitu,0,konavak,1,konsava,0,konsata,0,konsalval,0,losantan,0,losantant,0,losantan,1,losanta,0,losantent
15,3,berry,three,blue,tovokon,1,totunso,0,vitusna,0,konsaval,0,lonsaval,0,konsalva,0,santa,0,loskilva,1,kosil,0,kilosilvan,0,kilosilva
15,3,berry,three,green,vunvokal,1,tovokon,1,kunakolv,1,konsaval,0,konsantal,1,konsanta,0,losantant,1,losantanta,0,loskila,0,kilosilvan,0,kilosantant
15,3,berry,three,red,tisasal,0,totunso,0,konsavol,0,konsaval,0,konsontal,0,lisalva,0,losantana,1,losantana,0,kilosntana,1,kilosantan,1,kilosilva
15,3,berry,two,blue,vonsalti,1,vinsalti,1,vinsito,0,konsatol,0,konsatal,1,konsantal,0,kilsilva,0,kilosilva,1,kilosilva,1,dosntana,0,dosiltant
15,3,berry,two,green,kosankun,1,kosankun,1,konsako,0,konsatal,1,konsontal,1,konsantal,1,kilsantana,1,losantan,1,dosilva,0,dosilvan,0,dosilva
15,3,berry,two,red,vansolkul,1,vansolkul,1,kusenalv,1,konsaval,1,konsontal,0,kilvalta,0,losantan,1,losantana,1,kilosantant,0,dossntant,1,dosantatnt
15,3,key,one,blue,valkosil,0,kultota,0,lislolva,1,lislolav,1,lisontal,0,lisanta,0,kilnova,0,kilsilva,1,dosilvant,0,dosilvan,0,lodant
15,3,key,one,green,suntokil,0,kultota,0,lisonav,1,lislov,0,lisonav,0,lisonav,1,doslantan,1,kilnova,1,dosilva,0,dosilvan,1,losanta
